지점번호,지점명,lat,lng
A-01,성산로(금화터널),37.56875223122422,126.94893841999719
A-02,사직로(사직터널),37.57245740000172,126.96328700000406
A-03,자하문로(자하문터널),37.58871599999982,126.96848820000457
A-04,대사관로(삼청터널),37.59636970000085,126.98470070000207
A-05,율곡로(안국역),37.57598119999836,126.98466839999921
A-06,창경궁로(서울여자대학교),37.58256939999995,126.99802889999499
A-07,대학로(한국방송통신대학교),37.57785200000141,127.00209450000396
A-08,종로(동묘앞역),37.573166999996744,127.01715870000443
A-09,퇴계로(신당역),37.565463500004306,127.02094049999522
A-10,동호로(장충체육관),37.558618300001896,127.00716970000084
A-11,장충단로(장충단공원),37.55676190869442,127.00464018922615
A-12,퇴계로(회현역),37.55752489999909,126.97668460000249
A-13,세종대로(서울역),37.55857930000355,126.97427840000191
A-14,새문안로(서울역사박물관),37.56972639999681,126.9709362999957
A-15,종로(종로3가역),37.57013620000031,126.99139789999735
A-16,서소문로(시청역),37.562701200000106,126.97279579999442
A-17,세종대로(시청역2),37.567596500003376,126.97717379999551
A-18,을지로(을지로3가역),37.566075900003106,126.98896750000095
A-19,칠패로(숭례문),37.559797100003784,126.9726046000029
A-20,남산1호터널,37.53808229999969,127.00425330000215
A-21,남산2호터널,37.54442359999968,126.98980260000383
A-22,남산3호터널,37.54453219999888,126.98852179999868
A-23,소월로(회현역),37.55710201634708,126.97638019790114
A-24,소파로(숭의여자대학교),37.55508502594912,126.9837483843955
B-01,도봉로(도봉산역),37.69209973706169,127.04488742571954
B-02,동일로(의정부IC),37.69223180000242,127.05543789999805
B-03,아차산로(워커힐),37.55184710000036,127.10974099999659
B-04,망우로(망우리공원),37.6013129000006,127.11597290000041
B-05,경춘북로(중랑경찰서),37.62026809999675,127.1056975999958
B-06,화랑로(조선왕릉),37.63073670246202,127.09928509218535
B-07,북부간선도로(신내IC),37.61367250378426,127.10893493207324
B-08,서하남로(서하남IC),37.516981300001234,127.14711639999528
B-09,천호대로(상일IC),37.54734809999835,127.17505549999586
B-10,올림픽대로(강일IC),37.56982079947433,127.157273225747
B-11,경부고속도로(양재IC),37.465006414418696,127.03859079411374
B-12,송파대로(복정역),37.469048699998204,127.12618969999838
B-13,밤고개로(세곡동사거리),37.462611968747694,127.10773200931992
B-14,분당-수서로(성남시계),37.47132806214891,127.12280229133619
B-15,과천대로(남태령역),37.463458199997376,126.98861609999648
B-16,양재대로(양재IC),37.4601690841641,127.03505048148553
B-17,반포대로(우면산터널),37.483745599999104,127.01137630000359
B-18,시흥대로(석수역),37.43498420000287,126.9034930000047
B-19,금오로(광명시계),37.48278239999846,126.84182239999855
B-20,오리로(광명시계),37.48267618903179,126.84289831021778
B-21,개봉로(개봉교),37.48664220000377,126.85642539999776
B-22,광명대교(광명시계),37.48498899999904,126.87336190000013
B-23,철산교(광명시계),37.474456799997824,126.878453999995
B-24,금천교(광명시계),37.46464039999587,126.88444159999449
B-25,금하로(광명시계),37.451366199998716,126.8917668000032
B-26,오정로(부천시계),37.5426509999979,126.80943560000539
B-27,화곡로(화곡로입구),37.53929618036994,126.82437028161155
B-28,경인고속국도(신월IC),37.52513505460932,126.83235634264777
B-29,경인로(유한공고),37.488713599998945,126.8226297999944
B-30,신정로(작동터널),37.50616596420618,126.82410862874092
B-31,김포대로(개화교),37.585515299996786,126.79583550000117
B-32,올림픽대로(개화IC),37.58784236468324,126.81300198793026
B-33,통일로(고양시계),37.646860199998116,126.90669910000297
B-34,서오릉로(고양시계),37.6178981999975,126.90605159999865
B-35,수색로(고양시계),37.587758799997815,126.8864555000007
B-36,강변북로(난지한강공원),37.570874864223846,126.8725292247012
B-37,강변북로(구리시계),37.56339817621422,127.11726003795187
B-38,동부간선도로(상도지하차도),37.68247417567289,127.05245447751736
C-01,행주대교,37.597829062494434,126.80969311423598
C-02,월드컵대교,37.55657132166403,126.88548949532436
C-03,가양대교,37.56821180386653,126.86004862052098
C-04,성산대교,37.55208974444166,126.8911887141526
C-05,양화대교,37.543316091928034,126.90396534755335
C-06,서강대교,37.53735787327254,126.92527837747372
C-07,마포대교,37.533607222502255,126.93641512775552
C-08,원효대교,37.52678207693189,126.94529031511006
C-09,한강대교,37.518047955700474,126.95914219379485
C-10,동작대교,37.50959317020502,126.98165451624584
C-11,반포대교,37.5147212518877,126.99632386548537
C-12,잠수교,37.507631499999704,127.00000359999777
C-13,한남대교,37.52693819363846,127.01299866858744
C-14,동호대교,37.53823585781558,127.01947265732367
C-15,성수대교,37.53688982082258,127.03488269771185
C-16,영동대교,37.53033076611564,127.05735964475528
C-17,청담대교,37.52545294915796,127.0639738987978
C-18,잠실대교,37.52407418088154,127.09167725997482
C-19,올림픽대교,37.533821847885335,127.10396494896541
C-20,천호대교,37.542688703466986,127.11267880423361
C-21,광진교,37.54418193587418,127.11519312078964
D-01,진흥로(구기터널),37.60885889999937,126.95465229999856
D-02,평창문화로(북악터널),37.61147850000128,126.97941230000157
D-03,동호로(금호터널),37.551761699997066,127.01343020000293
D-04,서빙고로(한남역),37.52715506012961,127.00459310246713
D-05,천호대로(군자교),37.56078740000425,127.06859020000067
D-06,뚝섬로(용비교),37.54204691127844,127.02051465696434
D-07,동일로(군자교),37.55315512072661,127.0702671817518
D-08,화랑로(상월곡역),37.6037426999987,127.04427290000444
D-09,동소문로(길음교사거리),37.5998603999992,127.0217108999981
D-10,화랑로(화랑대역),37.61982951833141,127.08272171581183
D-11,도봉로(쌍문역),37.64568199999703,127.03340680000316
D-12,동부간선도로(월계1교),37.63258106097123,127.06408828039359
D-13,동일로(노원역),37.65238990000437,127.06064830000003
D-14,증산로(디지털미디어시티역),37.579821599996016,126.90531189999764
D-15,통일로(산골고개정류장),37.59488390000313,126.9401573999985
D-16,성산로(연희IC),37.56297820000257,126.93127299999652
D-17,연희로(연희IC),37.566030707210814,126.9303093103913
D-18,남부순환로(화곡로입구 교차로),37.540117599998,126.82577909999613
D-19,남부순환로(신월IC),37.52400650000271,126.83630949999511
D-20,강서로(화곡터널),37.53446859999907,126.8450902000022
D-21,공항대로(발산역),37.55926469999767,126.82987599999854
D-22,경인로(오류IC),37.49847370000137,126.8509966999989
D-23,경인로(거리공원입구교차로),37.506416600002446,126.88433090000298
D-24,시흥대로(시흥IC),37.476881899998546,126.89847170000456
D-25,영등포로(오목교),37.52313490000218,126.88347359999496
D-26,시흥대로(구로디지털단지역),37.486971999997,126.90430320000215
D-27,제물포길(여의2교),37.525804799997864,126.91042109999914
D-28,경인로(서울교),37.52042420000342,126.91531080000324
D-29,여의대방로(여의교),37.51707570000247,126.9278404999986
D-30,양녕로(상도터널),37.51085870000155,126.9533551999986
D-31,동작대로(총신대입구역),37.49442941979639,126.98283427066943
D-32,문성로(난곡터널),37.47908790000088,126.9242722000018
D-33,남부순환로(낙성대역),37.47785699999957,126.96237130000522
D-34,남부순환로(예술의전당),37.476561099998015,127.00417510000426
D-35,강남대로(강남역-신분당),37.4921922910611,127.03027093968564
D-36,사평대로(고속터미널역),37.50353479999782,127.00781929999715
D-37,반포대로(서초역),37.49625957869676,127.0055863486508
D-38,언주로(매봉터널),37.49242379999682,127.04747830000021
D-39,남부순환로(수서IC),37.49549760000092,127.09213629999873
D-40,헌릉로(세곡동사거리),37.46486560000322,127.10538289999445
D-41,노들로(여의하류IC),37.52971516279648,126.90924353876083
D-42,테헤란로(선릉역),37.505883699996026,127.05215149999606
D-43,강남대로(신사역),37.51497188187211,127.02008872830051
D-44,백제고분로(종합운동장),37.51121742633455,127.07838282831274
D-45,송파대로(송파역),37.48721381470459,127.12186719282836
D-46,서부간선도로,37.52087918908032,126.8819015657572
F-01,올림픽대로,37.50615876584033,126.9733765165756
F-02,강변북로,37.51703409512075,126.97431151057937
F-03,내부순환로,37.60880337797713,126.998992038013
F-04,북부간선로,37.60852134035609,127.05265165632677
F-05,동부간선도로,37.57419670957969,127.07924120214136
F-06,경부고속도로,37.48882399868496,127.02382443268411
F-07,분당수서로,37.4975970158606,127.08725714690235
F-08,강남순환로(관악터널),37.438360742400214,126.90770422219599
F-09,서부간선지하도로,37.46876669669271,126.88363401633389
F-10,신월여의지하도로,37.52887945161377,126.85688653202321
